name,category,status,fit_time,transform_time,total_time,features,accuracy,error
Nominative Analysis,Core,SUCCESS,0.09325599670410156,0.017794132232666016,0.11105012893676758,51,0.97,
Self Perception,Core,ERROR,0.0,0.0,0.0,0,0.0,"Found input variables with inconsistent numbers of samples: [1, 400]"
Narrative Potential,Core,SUCCESS,0.08024311065673828,0.02207016944885254,0.10231328010559082,35,0.97,
Linguistic Patterns,Core,SUCCESS,0.27040910720825195,0.03343605995178223,0.3038451671600342,36,0.97,
Ensemble Narrative,Core,SUCCESS,0.16273093223571777,0.0017650127410888672,0.16449594497680664,25,0.97,
Relational Value,Core,SUCCESS,0.931999921798706,0.15233111381530762,1.0843310356140137,17,0.97,
Framing,Structural,SUCCESS,0.026973962783813477,0.004500865936279297,0.03147482872009277,12,0.97,
Phonetic,Nominative,SUCCESS,0.10506582260131836,0.022730112075805664,0.12779593467712402,91,0.97,
Social Status,Nominative,SUCCESS,0.06293392181396484,0.006880998611450195,0.06981492042541504,20,0.97,
Information Theory,Advanced,SUCCESS,0.14092111587524414,0.05756402015686035,0.1984851360321045,25,0.97,
Namespace Ecology,Advanced,SUCCESS,0.07519698143005371,0.03304600715637207,0.10824298858642578,35,0.97,
Quantitative,Advanced,SUCCESS,0.025107860565185547,0.008060216903686523,0.03316807746887207,10,0.97,
Optics,Theory,SUCCESS,0.05450010299682617,0.01998114585876465,0.07448124885559082,15,0.97,
Anticipatory Communication,Contextual,SUCCESS,0.017035961151123047,0.0028390884399414062,0.019875049591064453,25,0.97,
Temporal Evolution,Temporal,SUCCESS,0.052980899810791016,0.004495859146118164,0.05747675895690918,30,0.97,
Temporal Narrative Context,Temporal,SUCCESS,0.050189971923828125,0.01769399642944336,0.06788396835327148,50,0.97,
Statistical,Baseline,SUCCESS,0.025755882263183594,0.004591226577758789,0.030347108840942383,571,0.97,
